#TYPE Selected.Microsoft.ActiveDirectory.Management.ADComputer
"name","lastlogondate","operatingsystem"
"CLTLNBKEREKES","5/13/2019 7:11:58 AM","Windows 10 Pro"
"LNSFCELROD","7/18/2016 8:13:39 AM","Windows 10 Pro"
"CLTLNREN01","5/11/2019 4:05:00 PM","Windows 7 Professional"
"CLTLNREN04","5/17/2019 6:59:36 AM","Windows 7 Professional"
"CLTLNREN03","5/11/2019 7:53:05 PM","Windows 7 Professional"
"CLTLNREN02","5/13/2019 6:05:55 AM","Windows 7 Professional"
"CLTLNREN05","5/13/2019 1:08:48 PM","Windows 7 Professional"
"RENDERHOST01","5/12/2019 6:41:29 PM","unknown"
"CLTLNSSUTTON","5/14/2019 8:10:11 AM","Windows 10 Pro"
"cltlnteller-01","3/10/2017 11:42:56 AM","Mac OS X"
"CLTLNLMCGUIRE","5/9/2019 8:21:14 AM","Windows 10 Pro"
"CLTLNFEDEXSRV","5/11/2019 8:29:15 AM","Windows 7 Professional"
"CLTLNREN001","3/27/2018 2:09:07 PM","Windows 10 Pro"
"cltlnjones","5/9/2017 11:10:35 AM","Mac OS X"
"cltlnsglover","1/29/2018 8:24:43 AM","Mac OS X"
"CLTLNCTJONES","5/16/2019 8:18:40 AM","Windows 10 Pro"
"CLTLNJMILLER","10/6/2017 1:36:25 PM","Windows 10 Pro"
"CLTLNRBECHARD","5/13/2019 7:12:44 AM","Windows 10 Pro"
"CLTLNCDANA","9/19/2016 7:35:07 AM","Windows 7 Professional"
"CLTLNGSANDL","2/20/2019 7:15:38 AM","Windows 10 Pro"
"CLTLAPTOPAFRASE","5/13/2019 2:05:48 PM","Windows 10 Pro"
"CLTLNJPOWLEY","5/9/2019 1:58:10 PM","Windows 10 Pro"
"CLTLNIT-02","7/29/2016 2:54:50 PM","Windows 7 Professional"
"CLTLNCAHINSON","9/22/2016 7:56:19 AM","Windows 7 Professional"
"CLTLNSKUHN","4/8/2018 5:12:34 PM","Windows 10 Pro"
"CLTWHOUSE0007","5/13/2019 7:40:02 AM","Windows 10 Pro"
"CLTLNKFDT","10/11/2017 8:32:24 AM","Windows 10 Pro"
"CLTLNTPETHEL","9/14/2018 7:58:35 AM","Windows 10 Pro"
"CLTLNAHINSON","5/9/2019 7:37:06 AM","Windows 10 Pro"
"CLTLNSPARE12716","5/12/2019 8:32:17 AM","Windows 10 Pro"
"CLTLNATABORLT","9/23/2016 9:08:07 AM","Windows 10 Pro"
"CLTLNCABLACK","2/18/2019 7:40:51 AM","Windows 10 Pro"
"CLTLNMDALE","5/9/2019 9:02:42 AM","Windows 10 Pro"
"CLTLNCRSTORE1","9/17/2018 3:38:14 PM","Windows 10 Pro"
"CLTLNSDADMIN","1/9/2018 1:47:44 PM","Windows 10 Pro"
"CLTLNVIC2","5/13/2019 12:09:33 PM","Windows 10 Pro"
"CLTLNPCOMP","5/14/2019 12:48:34 PM","Windows 7 Professional"
"CLTLNORTERY","5/11/2019 2:35:58 PM","Windows 10 Pro"
"CLTLNTD","10/28/2016 12:50:43 PM","Windows 10 Pro"
"CLTLNABYRNE","5/13/2019 7:31:30 AM","Windows 10 Pro"
"CLTLNMBREWER","5/9/2019 8:05:16 AM","Windows 10 Pro"
"CLTLN-W7SPARE","7/9/2018 10:41:33 AM","Windows 7 Professional"
"CLTLNJFARRELL","1/16/2018 10:49:16 AM","Windows 10 Pro"
"CLTLNJSTEPHENS","2/27/2018 3:13:43 PM","Windows 10 Pro"
"CLTLNALPOLHMAN","5/13/2019 7:36:24 AM","Windows 10 Pro"
"CLTLN-112216","12/12/2017 8:53:19 AM","Windows 10 Pro"
"SPARE11172016","12/12/2016 10:16:01 AM","Windows 10 Pro"
"CLTLNSMY","5/9/2019 6:30:23 AM","Windows 10 Pro"
"CLTLNTRENZ","5/9/2019 7:36:49 AM","Windows 10 Pro"
"CLTLNRFURR","5/16/2019 8:22:55 AM","Windows 10 Pro"
"CLTLNJBRASSEUR","5/13/2019 8:47:32 AM","Windows 10 Pro"
"CLTLNBPLOWMAN","3/20/2017 9:30:15 AM","Windows 10 Pro"
"CLTLNAMUSSER","8/19/2018 1:17:52 PM","Windows 10 Pro"
"CLTLNAAFRASER","5/13/2019 7:05:01 AM","Windows 10 Pro"
"CLTLNMQUISPE","11/20/2017 2:02:15 PM","Windows 10 Pro"
"CLTLNRKUNKLE","5/8/2019 2:56:18 PM","Windows 10 Pro"
"CLTLNKKEE","1/2/2019 8:00:07 AM","Windows 10 Pro"
"CLTLNCJWALL","5/16/2019 2:04:17 PM","Windows 10 Pro"
"CLTLNPFURR","12/20/2018 7:23:39 AM","Windows 10 Pro"
"SPARE121316","3/27/2017 8:54:38 AM","Windows 7 Professional"
"SPARE12152016","5/13/2019 8:47:49 AM","Windows 10 Pro"
"ITSPAREW10","3/9/2017 2:26:26 PM","Windows 10 Pro"
